country,year,gdp,Reunification
Turkey,1966,2503.83,0
Turkey,1967,2572.58,0
Turkey,1968,2698.95,0
Turkey,1969,2793.89,0
Turkey,1970,2879.67,0
Turkey,1971,3087.23,0
Turkey,1972,3227.35,0
Turkey,1973,3306.58,0
Turkey,1974,3504.97,0
Turkey,1975,3744.62,0
Turkey,1976,4000.63,0
Turkey,1977,4106.05,0
Turkey,1978,4157.78,0
Turkey,1979,4062.18,0
Turkey,1980,3974.44,0
Turkey,1981,4060.22,0
Turkey,1982,4178.07,0
Turkey,1983,4248.79,0
Turkey,1984,4410.52,0
Turkey,1985,4555.87,0
Turkey,1986,4794.87,0
Turkey,1987,5132.07,0
Turkey,1988,5250.58,0
Turkey,1989,5232.9,0
Turkey,1990,5634.93,0
Turkey,1991,5669.23,0
Turkey,1992,5991.41,0
Turkey,1993,6459.48,0
Turkey,1994,6095.03,0
Turkey,1995,6523.15,0
Turkey,1996,6969.76,0
Turkey,1997,7485.59,0
Turkey,1998,7708.47,0
Turkey,1999,7301.76,0
Turkey,2000,7794.36,0
Turkey,2001,7170.36,0
Turkey,2002,7696.11,0
Turkey,2003,8106.16,0
UK,1960,8038.04,0
UK,1961,8192.63,0
UK,1962,8212.65,0
UK,1963,8547.54,0
UK,1964,8967.26,0
UK,1965,9099.64,0
UK,1966,9191.46,0
UK,1967,9395.85,0
UK,1968,9861.94,0
UK,1969,10011.46,0
UK,1970,10241.71,0
UK,1971,10556.47,0
UK,1972,10975.41,0
UK,1973,11668.86,0
UK,1974,11371.79,0
UK,1975,11205.04,0
UK,1976,11533.97,0
UK,1977,11821.33,0
UK,1978,12317.67,0
UK,1979,12768.0,0
UK,1980,12493.7,0
UK,1981,12390.96,0
UK,1982,12642.68,0
