unit,time,age,asfr,treat
East Germany,1968,13,0.0,0
East Germany,1968,14,8e-05,0
East Germany,1968,15,0.00201,0
East Germany,1968,16,0.00966,0
East Germany,1968,17,0.03788,0
East Germany,1968,18,0.09023,0
East Germany,1968,19,0.15268,0
East Germany,1968,20,0.19399,0
East Germany,1968,21,0.20418,0
East Germany,1968,22,0.19247,0
East Germany,1968,23,0.17624,0
East Germany,1968,24,0.16143,0
East Germany,1968,25,0.14485,0
East Germany,1968,26,0.13082,0
East Germany,1968,27,0.11741,0
East Germany,1968,28,0.10369,0
East Germany,1968,29,0.09183,0
East Germany,1968,30,0.08082,0
East Germany,1968,31,0.07164,0
East Germany,1968,32,0.06236,0
East Germany,1968,33,0.05422,0
East Germany,1968,34,0.04806,0
East Germany,1968,35,0.04137,0
East Germany,1968,36,0.03385,0
East Germany,1968,37,0.02691,0
East Germany,1968,38,0.02201,0
East Germany,1968,39,0.01599,0
East Germany,1968,40,0.00998,0
East Germany,1968,41,0.00632,0
East Germany,1968,42,0.00413,0
East Germany,1968,43,0.0025,0
East Germany,1968,44,0.00147,0
East Germany,1968,45,0.00058,0
East Germany,1968,46,0.0002,0
East Germany,1968,47,0.00011,0
East Germany,1968,48,6e-05,0
East Germany,1968,49,3e-05,0
East Germany,1968,50,2e-05,0
East Germany,1968,51,1e-05,0
East Germany,1968,52,1e-05,0
East Germany,1968,53,0.0,0
East Germany,1968,54,0.0,0
East Germany,1968,55,0.0,0
East Germany,1969,12,0.0,0
East Germany,1969,13,0.0,0
East Germany,1969,14,8e-05,0
East Germany,1969,15,0.002,0
East Germany,1969,16,0.00955,0
East Germany,1969,17,0.03797,0
East Germany,1969,18,0.0912,0
East Germany,1969,19,0.15341,0
East Germany,1969,20,0.19275,0
East Germany,1969,21,0.20236,0
East Germany,1969,22,0.19326,0
East Germany,1969,23,0.17318,0
East Germany,1969,24,0.15624,0
East Germany,1969,25,0.14331,0
East Germany,1969,26,0.1268,0
East Germany,1969,27,0.11151,0
East Germany,1969,28,0.09902,0
East Germany,1969,29,0.08731,0
East Germany,1969,30,0.07728,0
East Germany,1969,31,0.06718,0
East Germany,1969,32,0.05837,0
East Germany,1969,33,0.05039,0
