idunico,Year,policial,presence_strength,co_num,war
11041,2004,0,0,0,0
11041,2005,0,0,0,0
11041,2006,0,0,0,0
11041,2007,0,0,0,0
11041,2008,0,2,1,0
11041,2009,0,2,1,0
11041,2010,0,2,2,1
11041,2011,0,2,2,1
11041,2012,0,2,3,1
11041,2013,0,2,3,1
11041,2014,0,2,2,1
11041,2015,1,1,1,0
11041,2016,1,2,1,0
11041,2017,1,2,1,0
11041,2018,1,2,1,0
11041,2019,1,2,1,0
11041,2020,1,3,3,1
11041,2021,1,3,3,1
11042,2000,0,0,0,0
11042,2001,0,0,0,0
11042,2002,0,0,0,0
11042,2003,0,0,0,0
11042,2004,0,0,0,0
11042,2005,0,0,0,0
11042,2006,0,0,0,0
11042,2007,0,0,0,0
11042,2008,0,2,1,0
11042,2009,0,2,2,1
11042,2010,0,2,2,1
11042,2011,0,2,3,1
11042,2012,0,2,2,1
11042,2013,0,2,2,1
11042,2014,0,2,2,1
11042,2015,0,1,1,0
11042,2016,1,1,1,0
11042,2017,1,2,1,0
11042,2018,1,2,2,1
11042,2019,1,2,2,1
11042,2020,1,2,2,1
11042,2021,1,3,1,0
11044,2000,0,0,0,0
11044,2001,0,0,0,0
11044,2002,0,0,0,0
11044,2003,0,0,0,0
11044,2004,0,0,0,0
11044,2005,0,0,0,0
11044,2006,0,0,0,0
11044,2007,0,0,0,0
11044,2008,0,2,1,0
11044,2009,0,2,2,1
11044,2010,0,2,2,1
11044,2011,0,2,3,1
11044,2012,0,2,2,1
11044,2013,0,2,2,1
11044,2014,0,3,1,0
11044,2015,0,3,1,0
11044,2016,1,3,1,0
11044,2017,1,3,1,0
11044,2018,1,3,1,0
11044,2019,1,3,1,0
11044,2020,1,3,1,0
11044,2021,1,3,1,0
11046,2000,0,0,0,0
11046,2001,0,0,0,0
11046,2002,0,0,0,0
11046,2003,0,0,0,0
11046,2004,0,0,0,0
11046,2005,0,0,0,0
11046,2006,0,0,0,0
11046,2007,0,0,0,0
11046,2008,0,0,0,0
11046,2009,0,2,1,0
11046,2010,0,2,2,1
11046,2011,0,2,3,1
11046,2012,0,2,3,1
11046,2013,0,2,3,1
11046,2014,0,2,2,1
11046,2015,1,1,1,0
11046,2016,1,0,0,0
11046,2017,1,0,0,0
11046,2018,1,2,2,1
11046,2019,1,2,2,1
11046,2020,1,2,2,1
11046,2021,1,3,2,1
