outcome,T/N,N,T,S,event time,att estimate,confidence interval_l,confidence interval_u
theft_violent_rate,1.27272727272727,33,42,90,75,-1.95419495001389,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,76,-1.77887890196849,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,77,-1.39064846249377,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,78,-1.50013970126772,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,79,-1.78096494140566,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,80,-1.42396834970663,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,81,-1.42640944747217,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,82,-0.963717527017727,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,83,-1.13209375170274,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,84,-1.66351450680183,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,85,-1.26197356232343,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,86,-0.94803158586653,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,87,-1.68107412006081,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,88,-0.571775858887505,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,89,-1.43224448165864,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,90,-1.74811020925709,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,1,-2.02204284591207,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,2,-0.847368109851885,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,3,0.0249102290236537,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,4,-1.55758345674784,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,5,-1.63623798954672,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,6,-0.241874707170358,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,7,2.17022804035143,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,8,0.687425955653682,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,9,-1.81351843975146,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,10,-0.170784886137464,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,11,-1.39611892362181,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,12,0.19171629960875,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,13,1.02731388706008,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,14,0.142991493536851,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,15,1.40104985931712,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,16,0.922835602418152,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,17,2.41293731480337,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,18,-1.03091891697404,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,19,1.16288873380569,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,20,-0.456860514118749,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,21,-1.58974578379637,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,22,-1.23000671423271,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,23,0.496593794688308,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,24,-1.14841612476685,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,25,1.83114609646893,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,26,-0.582023931305902,NaN,NaN
