"dates" "sat" "sun" "hol" "excl.dates"
"555" "2019-03-09" 1 0 0 0
"556" "2019-03-10" 0 1 0 0
"557" "2019-03-11" 0 0 0 0
"558" "2019-03-12" 0 0 0 0
"559" "2019-03-13" 0 0 0 0
"560" "2019-03-14" 0 0 0 0
"561" "2019-03-15" 0 0 0 0
"562" "2019-03-16" 1 0 0 0
"563" "2019-03-17" 0 1 0 0
"564" "2019-03-18" 0 0 0 0
"565" "2019-03-19" 0 0 0 0
"566" "2019-03-20" 0 0 0 0
"567" "2019-03-21" 0 0 0 0
"568" "2019-03-22" 0 0 0 0
"569" "2019-03-23" 1 0 0 0
"570" "2019-03-24" 0 1 0 0
"571" "2019-03-25" 0 0 0 0
"572" "2019-03-26" 0 0 0 0
"573" "2019-03-27" 0 0 0 0
"574" "2019-03-28" 0 0 0 0
"575" "2019-03-29" 0 0 0 0
"576" "2019-03-30" 1 0 0 0
"577" "2019-03-31" 0 1 0 0
"578" "2019-04-01" 0 0 0 0
"579" "2019-04-02" 0 0 0 0
"580" "2019-04-03" 0 0 0 0
"581" "2019-04-04" 0 0 0 0
"582" "2019-04-05" 0 0 0 0
"583" "2019-04-06" 1 0 0 0
"584" "2019-04-07" 0 1 0 0
"585" "2019-04-08" 0 0 0 0
"586" "2019-04-09" 0 0 0 0
"587" "2019-04-10" 0 0 0 0
"588" "2019-04-11" 0 0 0 0
"589" "2019-04-12" 0 0 0 0
"590" "2019-04-13" 1 0 0 0
"591" "2019-04-14" 0 1 0 0
"592" "2019-04-15" 0 0 0 0
"593" "2019-04-16" 0 0 0 0
"594" "2019-04-17" 0 0 0 0
"595" "2019-04-18" 0 0 0 0
"596" "2019-04-19" 0 0 0 0
"597" "2019-04-20" 1 0 1 0
"598" "2019-04-21" 0 1 0 1
"599" "2019-04-22" 0 0 0 1
"600" "2019-04-23" 0 0 1 0
"601" "2019-04-24" 0 0 1 0
"602" "2019-04-25" 0 0 0 1
"603" "2019-04-26" 0 0 1 0
"604" "2019-04-27" 1 0 0 0
"605" "2019-04-28" 0 1 0 0
"606" "2019-04-29" 0 0 0 0
"607" "2019-04-30" 0 0 0 0
